blindmemory.p1.chip     :: BLIND MEMORY MAZE
blindmemory.p1.title    :: Pha Đếm Ngược Ghi Nhớ
blindmemory.p1.section  :: QUY TẮC PHA GHI NHỚ
blindmemory.p1.cta      :: TIẾP THEO: TƯỜNG BIẾN MẤT (2/3) ›
blindmemory.p1.link     :: Bỏ qua hướng dẫn & Vào ghi nhớ ngay
blindmemory.p1.tab1     :: ĐẾM NGƯỢC 3 GIÂY
blindmemory.p1.tab2     :: TƯỜNG BIẾN MẤT
blindmemory.p1.tab3     :: DỰNG TƯỜNG NHÁP
blindmemory.p1.row1T    :: Tường Hiển Thị Toàn Bộ Khi Bắt Đầu:
blindmemory.p1.row1D    :: Bạn có 3 giây đếm ngược (3.. 2.. 1.. GO!) để nhìn thấy toàn bộ mê cung thật.
blindmemory.p1.row2T    :: Đồng Hồ Chưa Tính Giờ:
blindmemory.p1.row2D    :: Thời gian 3 giây ghi nhớ không bị tính vào thời gian chơi. Tương tác vẽ bị khóa tạm thời.
blindmemory.p1.row3T    :: Không Có Bất Kỳ Số Manh Mối Nào:
blindmemory.p1.row3D    :: Sau khi tường ẩn, các ô sẽ trống trơn — bạn hoàn toàn phải dựa vào bộ nhớ của mình!
blindmemory.p1.panel    :: GHI NHỚ TRONG
blindmemory.p1.panel    :: 3
blindmemory.p1.panel    :: GIÂY
blindmemory.p1.panel    :: TRONG 3 GIÂY ĐẦU
blindmemory.p1.panel    :: TƯỜNG HIỆN
blindmemory.p1.panel    :: 100% RÕ RÀNG
blindmemory.p1.panel    :: (Đồng hồ đứng yên)
blindmemory.p1.panel    :: ĐẶC BIỆT CHÚ Ý
blindmemory.p1.panel    :: HOÀN TOÀN
blindmemory.p1.panel    :: KHÔNG CÓ SỐ
blindmemory.p1.panel    :: Chỉ có ô S và F!
blindmemory.p1.panel    :: Tranh thủ 3 giây đếm ngược nhìn bao quát để khắc ghi đường thoát an toàn vào đầu!
blindmemory.p2.title    :: Tường Biến Mất & Đi Bằng Trí Nhớ
blindmemory.p2.section  :: QUY TẮC ĐI BẰNG TRÍ NHỚ
