id,en,vi,zh_TW,zh_CN,es,ar,de,fr,hi,id,it,ja,ko,ms,pt,pt_BR,ru,th,tr
STR_DAILY_CHALLENGE_TITLE,"DAILY CHALLENGE","THỬ THÁCH HẰNG NGÀY","每日挑戰","每日挑战","DESAFÍO DIARIO","التحدي اليومي","TÄGLICHE HERAUSFORDERUNG","DÉFI QUOTIDIEN","दैनिक चुनौती","TANTANGAN HARIAN","SFIDA GIORNALIERA","デイリーチャレンジ","일일 챌린지","CABARAN HARIAN","DESAFIO DIÁRIO","DESAFIO DIÁRIO","ЕЖЕДНЕВНЫЙ ВЫЗОВ","ภารกิจประจำวัน","GÜNLÜK MÜCADELE"
STR_SELECT_LEVEL_TITLE,"SELECT LEVEL","CHỌN MÀN CHƠI","選擇關卡","选择关卡","SELECCIONAR NIVEL","اختيار المرحلة","LEVEL AUSWÄHLEN","CHOISIR LE NIVEAU","स्तर चुनें","PILIH LEVEL","SCEGLI LIVELLO","ステージ選択","레벨 선택","PILIH TAHAP","SELECIONAR NÍVEL","SELECIONAR NÍVEL","ВЫБОР УРОВНЯ","เลือกด่าน","BÖLÜM SEÇ"
STR_CHAPTER_1_TITLE,"CHAPTER 1: INTRO BOARD (7×7)","CHƯƠNG 1: BÀN CỜ NHẬP MÔN (7×7)","第一章：入門棋盤 (7×7)","第一章：入门棋盘 (7×7)","CAPÍTULO 1: TABLERO BÁSICO (7×7)","الفصل 1: لوحة المبتدئين (7×7)","KAPITEL 1: EINFÜHRUNGSBRETT (7×7)","CHAPITRE 1 : PLATEAU D'INITIATION (7×7)","अध्याय 1: परिचयात्मक बोर्ड (7×7)","BAB 1: PAPAN PEMULA (7×7)","CAPITOLO 1: TABELLONE BASE (7×7)","第1章：入門ボード (7×7)","제1장: 입문 보드 (7×7)","BAB 1: PAPAN PERMULAAN (7×7)","CAPÍTULO 1: TABULEIRO INICIAL (7×7)","CAPÍTULO 1: TABULEIRO INICIAL (7×7)","ГЛАВА 1: ВВОДНАЯ ДОСКА (7×7)","บทที่ 1: กระดานเริ่มต้น (7×7)","BÖLÜM 1: BAŞLANGIÇ TAHTASI (7×7)"
STR_CHANGE_CHAPTER,"CHANGE CHAPTER ›","ĐỔI CHƯƠNG ›","更換章節 ›","更换章节 ›","CAMBIAR CAPÍTULO ›","تغيير الفصل ›","KAPITEL WECHSELN ›","CHANGER DE CHAPITRE ›","अध्याय बदलें ›","GANTI BAB ›","CAMBIA CAPITOLO ›","チャプター変更 ›","챕터 변경 ›","TUKAR BAB ›","MUDAR CAPÍTULO ›","MUDAR CAPÍTULO ›","СМЕНИТЬ ГЛАВУ ›","เปลี่ยนบท ›","BÖLÜM DEĞİŞTİR ›"
STR_LEVEL_PREFIX,"LEVEL","MÀN","關卡","关卡","NIVEL","المرحلة","LEVEL","NIVEAU","स्तर","LEVEL","LIVELLO","ステージ","레벨","TAHAP","NÍVEL","NÍVEL","УРОВЕНЬ","ด่าน","BÖLÜM"
STR_LABEL_NEW,"NEW","MỚI","NEW","NEW","NUEVO","جديد","NEU","NOUVEAU","नया","BARU","NUOVO","NEW","NEW","BARU","NOVO","NOVO","НОВЫЙ","ใหม่","YENİ"
STR_NEXT_LEVEL_TAG,"NEXT","MÀN TIẾP","下一關","下一关","SIGUIENTE","التالي","NÄCHSTES","SUIVANT","अगला","BERIKUTNYA","PROSSIMO","次へ","다음","SETERUSNYA","SEGUINTE","PRÓXIMO","СЛЕДУЮЩИЙ","ด่านถัดไป","SONRAKİ"
STR_BTN_CONTINUE_LEVEL,"CONTINUE LEVEL {0}","TIẾP TỤC MÀN {0}","繼續第 {0} 關","继续第 {0} 关","CONTINUAR NIVEL {0}","متابعة المرحلة {0}","LEVEL {0} FORTSETZEN","CONTINUER NIVEAU {0}","स्तर {0} जारी रखें","LANJUT LEVEL {0}","CONTINUA LIVELLO {0}","ステージ {0} を再開","레벨 {0} 계속하기","TERUSKAN TAHAP {0}","CONTINUAR NÍVEL {0}","CONTINUAR NÍVEL {0}","ПРОДОЛЖИТЬ УРОВЕНЬ {0}","เล่นต่อด่าน {0}","BÖLÜM {0}'E DEVAM ET"
STR_GENRE_SUBTITLE,"LOGIC & PUZZLE","LOGIC & PUZZLE","邏輯 & 解謎","逻辑 & 解谜","LÓGICA Y PUZZLE","منطق وألغاز","LOGIK & PUZZLE","LOGIQUE & CASSE-TÊTE","तर्क और पहेली","LOGIKA & TEKA-TEKI","LOGICA & PUZZLE","ロジック＆パズル","논리 & 퍼즐","LOGIK & TEKA-TEKI","LÓGICA & PUZZLE","LÓGICA E PUZZLE","ЛОГИКА И ГОЛОВОЛОМКИ","ตรรกะและปริศนา","MANTIK & BULMACA"
